regiondistrictsettlementsettlement_typelatitudelongitudequestion_1answer_1question_2answer_2question_3answer_3question_4answer_4question_5answer_5
Удмуртская РеспубликаЗавьяловский районд. Русская Лозадеревня56.816553.3895Фонетика: произношение [г],[ɡ] взрывнойФонетика: произношение окончаний -тся/-тьсяФонетика: произношение окончаний -тся/-тьсятвердое [ца]Морфология: окончание глаголов 3 л. мн.ч.-утЛексика: название "избы"избаСинтаксис: конструкция с "у меня есть"у меня есть
Удмуртская РеспубликаЗавьяловский районс. Завьяловосело56.789253.3736Фонетика: произношение [г],[ɡ] взрывнойФонетика: произношение окончаний -тся/-тьсяФонетика: произношение окончаний -тся/-тьсямягкое [ц'а]Морфология: окончание глаголов 3 л. мн.ч.-утЛексика: название "избы"избаСинтаксис: конструкция с "у меня есть"у меня есть
Удмуртская РеспубликаИгринский районс. Зурасело57.526953.0247Фонетика: произношение [г],[ɣ] фрикативныйФонетика: произношение окончаний -тся/-тьсяФонетика: произношение окончаний -тся/-тьсятвердое [ца]Морфология: окончание глаголов 3 л. мн.ч.-ат/-ятЛексика: название "избы"хатаСинтаксис: конструкция с "у меня есть"у мене є
Удмуртская РеспубликаЯкшур-Бодьинский районд. Чурдеревня57.126753.3881Фонетика: произношение [г],[ɡ] взрывнойФонетика: произношение окончаний -тся/-тьсяФонетика: произношение окончаний -тся/-тьсямягкое [ц'а]Морфология: окончание глаголов 3 л. мн.ч.-утЛексика: название "избы"избаСинтаксис: конструкция с "у меня есть"есть
Удмуртская РеспубликаУвинский районп. Увапоселок56.980852.1851Фонетика: произношение [г],[ɡ] взрывнойФонетика: произношение окончаний -тся/-тьсяФонетика: произношение окончаний -тся/-тьсятвердое [ца]Морфология: окончание глаголов 3 л. мн.ч.-утЛексика: название "избы"избаСинтаксис: конструкция с "у меня есть"у меня есть
Удмуртская РеспубликаВавожский районс. Вавожсело56.775651.9289Фонетика: произношение [г],[ɣ] фрикативныйФонетика: произношение окончаний -тся/-тьсяФонетика: произношение окончаний -тся/-тьсятвердое [ца]Морфология: окончание глаголов 3 л. мн.ч.-утЛексика: название "избы"избаСинтаксис: конструкция с "у меня есть"у меня есть
Удмуртская РеспубликаСелтинский районс. Селтысело57.313352.1344Фонетика: произношение [г],[ɡ] взрывнойФонетика: произношение окончаний -тся/-тьсяФонетика: произношение окончаний -тся/-тьсямягкое [ц'а]Морфология: окончание глаголов 3 л. мн.ч.-ат/-ятЛексика: название "избы"избаСинтаксис: конструкция с "у меня есть"есть
Удмуртская РеспубликаКезский районп. Кезпоселок57.895653.7131Фонетика: произношение [г],[ɡ] взрывнойФонетика: произношение окончаний -тся/-тьсяФонетика: произношение окончаний -тся/-тьсятвердое [ца]Морфология: окончание глаголов 3 л. мн.ч.-утЛексика: название "избы"избаСинтаксис: конструкция с "у меня есть"у меня есть
Удмуртская РеспубликаБалезинский районп. Балезинопоселок57.978953.0111Фонетика: произношение [г],[ɣ] фрикативныйФонетика: произношение окончаний -тся/-тьсяФонетика: произношение окончаний -тся/-тьсятвердое [ца]Морфология: окончание глаголов 3 л. мн.ч.-утЛексика: название "избы"хатаСинтаксис: конструкция с "у меня есть"у меня есть
Удмуртская РеспубликаДебесский районс. Дебесысело57.651453.8058Фонетика: произношение [г],[ɡ] взрывнойФонетика: произношение окончаний -тся/-тьсяФонетика: произношение окончаний -тся/-тьсятвердое [ца]Морфология: окончание глаголов 3 л. мн.ч.-утЛексика: название "избы"избаСинтаксис: конструкция с "у меня есть"у меня есть
Удмуртская РеспубликаШарканский районс. Шаркансело57.049453.9967Фонетика: произношение [г],[ɣ] фрикативныйФонетика: произношение окончаний -тся/-тьсяФонетика: произношение окончаний -тся/-тьсямягкое [ц'а]Морфология: окончание глаголов 3 л. мн.ч.-ат/-ятЛексика: название "избы"хатаСинтаксис: конструкция с "у меня есть"у мене є
Удмуртская РеспубликаСюмсинский районс. Сюмсисело57.111151.6156Фонетика: произношение [г],[ɣ] фрикативныйФонетика: произношение окончаний -тся/-тьсяФонетика: произношение окончаний -тся/-тьсятвердое [ца]Морфология: окончание глаголов 3 л. мн.ч.-утЛексика: название "избы"избаСинтаксис: конструкция с "у меня есть"у меня есть
Пермский крайЧайковский районс. Фокисело56.693954.1131Фонетика: произношение [г],[ɡ] взрывнойФонетика: произношение окончаний -тся/-тьсяФонетика: произношение окончаний -тся/-тьсятвердое [ца]Морфология: окончание глаголов 3 л. мн.ч.-утЛексика: название "избы"избаСинтаксис: конструкция с "у меня есть"есть
Республика ТатарстанЕлабужский районс. Танайкасело55.789152.0345Фонетика: произношение [г],[ɡ] взрывнойФонетика: произношение окончаний -тся/-тьсяФонетика: произношение окончаний -тся/-тьсятвердое [ца]Морфология: окончание глаголов 3 л. мн.ч.-утЛексика: название "избы"избаСинтаксис: конструкция с "у меня есть"бар
Республика БашкортостанЯнаульский районс. Янаулсело56.265854.9347Фонетика: произношение [г],[ɡ] взрывнойФонетика: произношение окончаний -тся/-тьсяФонетика: произношение окончаний -тся/-тьсятвердое [ца]Морфология: окончание глаголов 3 л. мн.ч.-утЛексика: название "избы"избаСинтаксис: конструкция с "у меня есть"у меня есть
